s,forward,upward,foamSource,crestMask,dForwardDs,dUpwardDs,flowSpeed,breakingWeight
139.12,4.20696e-08,7.60354e-10,7.82932e-39,0,-1.01102e-08,-2.42026e-10,0,0
139.589,3.75844e-08,6.55038e-10,4.5285e-39,0,-9.06325e-09,-2.0922e-10,0,0
140.059,3.35645e-08,5.64019e-10,2.61478e-39,0,-8.12159e-09,-1.80768e-10,0,0
140.528,2.99629e-08,4.85402e-10,1.5072e-39,0,-7.27485e-09,-1.56102e-10,0,0
140.997,2.67376e-08,4.1753e-10,8.67278e-40,0,-6.51374e-09,-1.34732e-10,0,0
141.466,2.38503e-08,3.58967e-10,4.98197e-40,0,-5.83009e-09,-1.16227e-10,0,0
141.935,2.12666e-08,3.0846e-10,2.85688e-40,0,-5.21609e-09,-1.00213e-10,0,0
142.405,1.89555e-08,2.64926e-10,1.63546e-40,0,-4.66479e-09,-8.63594e-11,0,0
142.874,1.68891e-08,2.27419e-10,9.34638e-41,0,-4.17018e-09,-7.43826e-11,0,0
143.343,1.50421e-08,1.95124e-10,5.33194e-41,0,-3.72655e-09,-6.40336e-11,0,0
143.812,1.3392e-08,1.67329e-10,3.03675e-41,0,-3.32879e-09,-5.50956e-11,0,0
144.282,1.19183e-08,1.43421e-10,1.7264e-41,0,-2.97233e-09,-4.73805e-11,0,0
144.751,1.06027e-08,1.22866e-10,9.79788e-42,0,-2.65297e-09,-4.07251e-11,0,0
145.22,9.42872e-09,1.05204e-10,5.55194e-42,0,-2.36698e-09,-3.4986e-11,0,0
145.689,8.38151e-09,9.00349e-11,3.14031e-42,0,-2.11101e-09,-3.00402e-11,0,0
146.158,7.44772e-09,7.7014e-11,1.77264e-42,0,-1.882e-09,-2.57801e-11,0,0
146.628,6.61541e-09,6.58424e-11,9.99126e-43,0,-1.67713e-09,-2.21128e-11,0,0
147.097,5.87387e-09,5.6263e-11,5.63322e-43,0,-1.49397e-09,-1.89572e-11,0,0
147.566,5.21345e-09,4.80527e-11,3.16693e-43,0,-1.33029e-09,-1.62437e-11,0,0
148.035,4.6255e-09,4.10197e-11,1.76564e-43,0,-1.18408e-09,-1.39112e-11,0,0
148.504,4.10229e-09,3.49982e-11,9.94922e-44,0,-1.05353e-09,-1.19074e-11,0,0
148.974,3.63685e-09,2.98456e-11,5.60519e-44,0,-9.37003e-10,-1.01871e-11,0,0
149.443,3.22299e-09,2.54385e-11,3.08286e-44,0,-8.33027e-10,-8.7108e-12,0,0
149.912,2.85513e-09,2.16712e-11,1.68156e-44,0,-7.40307e-10,-7.44452e-12,0,0
150.381,2.52827e-09,1.84524e-11,8.40779e-45,0,-6.57645e-10,-6.35917e-12,0,0
150.85,2.23798e-09,1.57037e-11,5.60519e-45,0,-5.83988e-10,-5.42903e-12,0,0
151.32,1.98025e-09,1.33577e-11,2.8026e-45,0,-5.18375e-10,-4.63265e-12,0,0
151.789,1.75153e-09,1.13563e-11,1.4013e-45,0,-4.59937e-10,-3.95103e-12,0,0
152.258,1.54863e-09,9.64999e-12,1.4013e-45,0,-4.07936e-10,-3.36794e-12,0,0
152.727,1.36872e-09,8.19581e-12,0,0,-3.61674e-10,-2.86943e-12,0,0
153.196,1.20923e-09,6.95728e-12,0,0,-3.2053e-10,-2.44343e-12,0,0
153.666,1.06792e-09,5.90286e-12,0,0,-2.83955e-10,-2.0796e-12,0,0
154.135,9.42766e-10,5.00574e-12,0,0,-2.51454e-10,-1.76903e-12,0,0
154.604,8.31956e-10,4.24278e-12,0,0,-2.22585e-10,-1.50407e-12,0,0
155.073,7.33888e-10,3.59429e-12,0,0,-1.96955e-10,-1.27812e-12,0,0
155.543,6.4713e-10,3.04336e-12,0,0,-1.74208e-10,-1.08556e-12,0,0
156.012,5.70408e-10,2.57558e-12,0,0,-1.54025e-10,-9.2153e-13,0,0
156.481,5.02591e-10,2.17859e-12,0,0,-1.36126e-10,-7.81883e-13,0,0
156.95,4.42665e-10,1.84185e-12,0,0,-1.20261e-10,-6.63051e-13,0,0
157.419,3.89736e-10,1.55637e-12,0,0,-1.06202e-10,-5.61991e-13,0,0
157.889,3.43003e-10,1.31447e-12,0,0,-9.37515e-11,-4.76086e-13,0,0
158.358,3.01758e-10,1.1096e-12,0,0,-8.27279e-11,-4.03107e-13,0,0
158.827,2.6537e-10,9.36189e-13,0,0,-7.29712e-11,-3.41136e-13,0,0
159.296,2.33281e-10,7.89474e-13,0,0,-6.43394e-11,-2.88542e-13,0,0
159.765,2.04993e-10,6.65417e-13,0,0,-5.67069e-11,-2.43932e-13,0,0
160.235,1.80066e-10,5.60565e-13,0,0,-4.99611e-11,-2.06112e-13,0,0
160.704,1.58109e-10,4.71998e-13,0,0,-4.39996e-11,-1.74065e-13,0,0
161.173,1.38776e-10,3.97219e-13,0,0,-3.87335e-11,-1.46926e-13,0,0
161.642,1.2176e-10,3.3412e-13,0,0,-3.40849e-11,-1.23953e-13,0,0
162.111,1.0679e-10,2.809e-13,0,0,-2.99824e-11,-1.04519e-13,0,0
162.581,9.36244e-11,2.36038e-13,0,0,-2.63635e-11,-8.80853e-14,0,0
163.05,8.20502e-11,1.98239e-13,0,0,-2.31722e-11,-7.41978e-14,0,0
163.519,7.18793e-11,1.6641e-13,0,0,-2.0359e-11,-6.24672e-14,0,0
163.988,6.2945e-11,1.39619e-13,0,0,-1.78804e-11,-5.25642e-14,0,0
164.457,5.51e-11,1.17082e-13,0,0,-1.56976e-11,-4.42082e-14,0,0
